Row ID,Team,Player,First Name,Last Name,Role,Country of Origin,Age,DoB,Majors,Data Last Updated as of:
1,NAVI,b1t,Valerij ,Vakhovsjkyj ,Rifler,Ukraine,22.18,5-Jan-03,,3/7/2025
2,NAVI,jL,Justinas ,Lekavičius ,Rifler,Lithuania,25.45,29-Sep-99,,
3,NAVI,Aleksib,Aleksi ,Virolainen ,IGL,Finland,27.96,30-Mar-97,,
4,NAVI,iM,Mihai,Ivan,Rifler,Romania,25.62,29-Jul-99,,
5,NAVI,w0nderful,Ihor ,Zhdanov ,AWPer,Ukraine,20.24,14-Dec-04,,
6,NAVI,B1ad3,Andrii,Horodenskyi,Coach,Ukraine,38.35,11-Nov-86,,
7,FaZe,rain,Håvard,Nygaard,Rifler,Norway,30.55,27-Aug-94,,
8,FaZe,broky,Helvijs,Saukants,AWPer,Latvia,24.07,14-Feb-01,,
9,FaZe,karrigan,Finn,Andersen,IGL,Denmark,34.92,14-Apr-90,,
10,FaZe,frozen,David,Čerňanský,Rifler,Slovakia,22.65,18-Jul-02,,
11,FaZe,EliGE,Jonathan,Jablonowski,Rifler,United States,27.66,16-Jul-97,,
12,FaZe,NEO,Filip,Kubski,Coach,Poland,37.75,15-Jun-87,,
13,Vitality,apEX,Dan,Madesclaire,IGL,France,32.06,22-Feb-93,,
14,Vitality,ZywOo,Mathieu,Herbaut,AWPer,France,24.34,9-Nov-00,,
15,Vitality,flamez,Shahar,Shushan,Rifler,Israel,21.72,22-Jun-03,,
16,Vitality,mezii,William,Merriman,Rifler,United Kingdom,26.41,15-Oct-98,,
17,Vitality,ropz,Robin,Kool,Rifler,Estonia,25.22,22-Dec-99,,
18,Vitality,XTQZZZ,Rémy,Quoniam,Coach,France,36.23,23-Dec-88,,
19,Spirit,chopper,Leonid,Vishnyakov,IGL,Russia,28.1,4-Feb-97,,
20,Spirit,magixx,Boris,Vorobyev,Rifler,Russia,21.78,3-Jun-03,,
21,Spirit,zont1x,Myroslav,Plakhotja,Rifler,Ukraine,19.64,20-Jul-05,,
22,Spirit,donk,Danil,Kryshkovets,Rifler,Russia,18.13,25-Jan-07,,
23,Spirit,sh1ro,Dmitriy,Sokolov,AWPer,Russia,23.66,15-Jul-01,,
24,Spirit,hally,Sergey,Shavayev,Coach,Russia,31.69,6-Jul-93,,
25,MongolZ,bLitz,Garidmagnai,Byambasuren,IGL,Mongolia,23.71,26-Jun-01,,
26,MongolZ,Techno4K,Sodbayar,Munkhbold,Rifler,Mongolia,19.81,20-May-05,,
27,MongolZ,910,Usukhbayar,Banzragch,AWPer,Mongolia,22.69,5-Jul-02,,
28,MongolZ,mzinho,Ayush,Batbold,Rifler,Mongolia,17.7,28-Jun-07,,
29,MongolZ,Senzu,Azbayar,Munkhbold,Rifler,Mongolia,18.58,11-Aug-06,,
30,MongolZ,maaRaa,Erdenedalai,Bayanbat,Coach,Mongolia,34.92,13-Apr-90,,
31,G2,huNter-,Nemanja,Kovač,Rifler,Bosnia and Herzegovina,29.19,3-Jan-96,,
32,G2,m0NESY,Ilya,Osipov,AWPer,Russia,19.86,1-May-05,,
33,G2,malbsMd,Mario,Samayoa,Rifler,Guatemala,22.4,17-Oct-02,,
34,G2,Snax,Janusz,Pogorzelski,IGL,Poland,31.69,5-Jul-93,,
35,G2,HeavyGod,Nikita,Martynenko,Rifler,Israel,22.64,24-Jul-02,,
36,G2,TaZ,Wiktor,Wojtas,Coach,Poland,38.78,6-Jun-86,,
37,Mouz,torzi,Ádám,Torzsás,AWPer,Hungary,22.82,17-May-02,,
38,Mouz,xertioN,Dorian,Berman,Rifler,Israel,20.64,22-Jul-04,,
39,Mouz,Jimpphat,Jimi,Salo,Rifler,Finland,18.5,9-Sep-06,,
40,Mouz,Brollan,Ludvig,Brolin,IGL,Sweden,22.74,17-Jun-02,,
41,Mouz,Spinx,Lotan,Giladi,Rifler,Israel,24.5,13-Sep-00,,
42,Mouz,sycrone,Dennis,Nielsen,Coach,Denmark,29.09,11-Feb-96,,
43,Falcons,Magisk,Emil,Reif,Rifler,Denmark,27.02,5-Mar-98,,
44,Falcons,NiKo,Nikola,Kovač,Rifler,Bosnia and Herzegovina,28.07,16-Feb-97,,
45,Falcons,TeSeS,René,Madsen,Rifler,Denmark,24.25,12-Dec-00,,
46,Falcons,kyxsan,Damjan,Stoilkovski,IGL,North Macedonia,24.8,26-May-00,,
47,Falcons,degster,Abdulkhalik,Gasanov,AWPer,Russia,23.64,21-Jul-01,,
48,Falcons,zonic,Danny,Sørensen,Coach,Denmark,38.63,30-Jul-86,,
49,Liquid,NAF,Keith,Markovic,Rifler,Canada,27.3,24-Nov-97,,
50,Liquid,Twistzz,Russel,Van Dulken,IGL,Canada,25.33,14-Nov-99,,
51,Liquid,ultimate,Roland,Tomkowiak,AWPer,Poland,21.28,29-Nov-03,,
52,Liquid,jks,Justin,Savage,Rifler,Australia,29.25,12-Dec-95,,
53,Liquid,NertZ,Guy,Iluz,Rifler,Israel,25.67,12-Jul-99,,
54,Liquid,mithR,Torbjørn,Nyborg,Coach,Denmark,35.33,16-Nov-89,,
55,FURIA,yuurih,Yuri,Boian,Rifler,Brazil,25.22,22-Dec-99,,
56,FURIA,KSCERATO,Kaike,Cerato,Rifler,Brazil,25.5,12-Sep-99,,
57,FURIA,FalleN,Gabriel,Toledo,IGL/Awper,Brazil,33.79,30-May-91,,
58,FURIA,chelo,Marcelo,Cespedes,Rifler,Brazil,26.76,8-Jun-98,,
59,FURIA,skullz,Felipe,Medeiros,Rifler,Brazil,22.9,20-Apr-02,,
60,FURIA,sidde,Sidnei,Macedo,Coach,Brazil,28.1,6-Feb-97,,
61,3DMAX,Lucky,Lucas,Chastang,Rifler,France,26.94,6-Apr-98,,
62,3DMAX,Ex3rcice,Pierre,Bulinge,Rifler,France,25.1,4-Feb-00,,
63,3DMAX,Maka,Bryan,Canda,IGL/Awper,France,27.69,6-Jul-97,,
64,3DMAX,Graviti,Filip,Branković,Rifler,France,21.34,8-Nov-03,,
65,3DMAX,bodyy,Alexandre,Pianaro,Rifler,France,28.18,8-Jan-97,,
66,3DMAX,wasiNk,Damien,Dufour,Coach,France,29.56,22-Aug-95,,
67,Eternal Fire,XANTARES,İsmailcan,Dörtkardeş,Rifler,Turkey,29.6,7-Aug-95,,
68,Eternal Fire,MAJ3R,Engin,Küpeli,IGL,Turkey,34.14,25-Jan-91,,
69,Eternal Fire,Wicadia,Ali,Haydar Yalçın,Rifler,Turkey,20.02,4-Mar-05,,
70,Eternal Fire,woxic,Özgür,Eker,AWPer,Turkey,26.53,2-Sep-98,,
71,Eternal Fire,jottAAA,Samet,Köklü,Rifler,Turkey,22.66,15-Jul-02,,
72,Eternal Fire,Fabre,Sezgin,Kalaycı,Coach,Turkey,34.79,1-Jun-90,,
73,Gamer Legion,sl3nd,Henrich,Hevesi,AWPer,Hungary,20.53,31-Aug-04,,
74,Gamer Legion,ztr,Erik,Gustafsson,IGL,Sweden,21.61,2-Aug-03,,
75,Gamer Legion,Tauson,Sebastian,Lindelof,Rifler,Denmark,19.57,17-Aug-05,,
76,Gamer Legion,PR,Oldřich,Nový,Rifler,Czech Republic,17.48,17-Sep-07,,
77,Gamer Legion,REZ,Fredrik,Sterner,Rifler,Sweden,27.17,11-Jan-98,,
78,Gamer Legion,ashhh,Ashley,Battye,Coach,United Kingdom,34.51,11-Sep-90,,
79,FlyQuest,INS,Joshua,Potter,Rifler,Australia,26.47,22-Sep-98,,
80,FlyQuest,Liazz,Jay,Tregillgas,Rifler,Australia,27.54,30-Aug-97,,
81,FlyQuest,Vexite,Declan,Portelli,Rifler,Australia,20.52,5-Sep-04,,
82,FlyQuest,dexter,Christopher,Nong,IGL,Australia,30.58,15-Aug-94,,
83,FlyQuest,regali,Iulian,Harjău,AWPer,Romania,22.55,26-Aug-02,,
84,FlyQuest,erkaSt,Erdenetsogt,Gantulga,Coach,Mongolia,29.99,19-Mar-95,,
85,SAW,MUTiRiS,Christopher,Fernandes,IGL,Portugal,32.22,26-Dec-92,,
86,SAW,story,João,Vieira,AWPer,Portugal,22.89,23-Apr-02,,
87,SAW,Ag1l,André,Gil,Rifler,Portugal,22.03,2-Mar-03,,
88,SAW,AZUWU,Oscar,Bell,Rifler,United Kingdom,21.35,5-Nov-03,,
89,SAW,cej0t,Jan,Dyl,Rifler,Poland,18.1,2-Feb-07,,
90,SAW,Golden,Maikil,Selim,Coach,Sweden,31.11,2-Feb-94,,
91,HEROIC,SunPayus,Alvaro,Garcia,AWPer,Spain,26.32,19-Nov-98,,
92,HEROIC,LNZ,Linus,Holtäng,IGL,Sweden,22.39,20-Oct-02,,
93,HEROIC,yxngstxr,Simon,Boije,Rifler,Sweden,20.39,22-Oct-04,,
94,HEROIC,xfl0ud,Yasin,Koç,Rifler,Turkey,22.22,23-Dec-02,,
95,HEROIC,tN1R,Andrey,Tatarinovich,Rifler,Belarus,24.07,14-Feb-01,,
96,HEROIC,sAw,Eetu,Saha,Coach,Finland,32.62,30-Jul-92,,
97,Nemiga,1eeR,Aleksandr,Nahornyj,IGL,Belarus,23.2,31-Dec-01,,
98,Nemiga,khaN,Beksūltan,Ospan,AWPer,Kazakhstan,21.41,13-Oct-03,,
99,Nemiga,riskyb0b,Maksim,Churikov,Rifler,Russia,22.5,10-Sep-02,,
100,Nemiga,Xant3r,Kirill,Kononov,Rifler,Russia,20.99,15-Mar-04,,
101,Nemiga,zweih,Ivan,Gogin,Rifler,Russia,17.48,19-Sep-07,,
102,Nemiga,boX,Anton,Burko,Coach,Belarus,30.07,16-Feb-95,,
103,M80,Swisher,Michael,Schmid,Rifler,United States,26.49,17-Sep-98,,
104,M80,reck,Ethan,Serrano,Rifler,United States,21.3,22-Nov-03,,
105,M80,slaxz-,Fritz,Dietrich,AWPer,Germany,26.3,25-Nov-98,,
106,M80,s1n,Elias,Stein,IGL,Germany,22.99,18-Mar-02,,
107,M80,Lake,Mason,Sanderson,Rifler,United States,20.39,19-Oct-04,,
108,M80,dephh,Rory,Jackson,Coach,United Kingdom,33.23,23-Dec-91,,
109,NRG,oSee,Joshua,Ohm,AWPer,United States,25.79,31-May-99,,
110,NRG,HexT,Jadan,Postma,Rifler,Canada,23.37,30-Oct-01,,
111,NRG,nitr0,Nicholas,Cannella,IGL,United States,29.58,16-Aug-95,,
112,NRG,Jeorge,Jeorge,Endicott,Rifler,United States,21.91,14-Apr-03,,
113,NRG,br0,Alexander,Bro,Rifler,Denmark,22.86,4-May-02,,
114,NRG,daps,Damian,Steele,Coach,Canada,31.63,28-Jul-93,,
115,TYLOO,JamYoung,Yang,Yi,Rifler,China,23.64,23-Jul-01,,
116,TYLOO,Moseyuh,Chen,Qianhao,IGL,China,20.22,21-Dec-04,,
117,TYLOO,Mercury,Wang,Jingxiang,Rifler,China,24.24,15-Dec-00,,
118,TYLOO,Jee,Ji,Dongkai,AWPer,China,20.22,21-Dec-04,,
119,TYLOO,zhokiNg,Zhong,Weijie,Coach,China,31.27,7-Dec-93,,
120,Lynn Vision,westmelon,Niu,Zhe,IGL,China,24.1,4-Feb-01,,
121,Lynn Vision,z4kr,Zhang,Sike,AWPer,China,22.33,14-Nov-02,,
122,Lynn Vision,EmiliaQAQ,Tang,Junjie,Rifler,China,20.55,23-Aug-04,,
123,Lynn Vision,Starry,Ye,Lizhi,Rifler,China,20.19,3-Jan-05,,
124,Lynn Vision,C4LLM3SU3,Su,Qihao,Rifler,China,21.01,9-Mar-04,,
125,Lynn Vision,Gum,Dai,Yifei,Coach,China,32.47,25-Sep-92,,
126,paiN Gaming,biguzera,Rodrigo,Bittencourt,IGL,Brazil,28.07,18-Feb-97,,
